video_name,is_comic
Des sachets de drogue estampillés Haribeu saisis : vive la France qui innove - Le Journal de 17h17,1
"""1984"" par Xavier Coste : Prix Bd Fnac France Inter 2022",0
Cantal : crainte qu'une zone humide ne soit bientôt transformée en carrière,0
Le Dessous des cartes - L'Instant M,0
Entre Google et Apple c'est la guerre des messages verts et des messages bleus,0
Le questionnaire Jupiproust de Iegor Gran,1
Primaire populaire grève des enseignants programme présidentiel : Anne Hidalgo invitée du 7/9,0
Le retour des néonicotinoïdes,0
"Valérie Lemercier : ""Je ne vois pas l'intérêt de vivre si on ne rit pas""",0
Mimi Marchand : portrait d'une influente de la République sur France 2 - Capture d'écrans,0
La Master Classe de Lucien Jean-Baptiste : Tarzan,0
"""Valérie Pécresse elle est pas encore présidente et elle se brouille déjà avec les allemands""",0
Triturons la langue française - La chronique langue de Laélia Véron,0
"""Gnossienne n°1"" d'Erik Satie la carte blanche d'Anne Queffélec",0
"Pêche : le chalut de fond ""bulldozer"" des océans",0
Hugo Travers ou comment jongler avec les réseaux - L'Instant M,0
"Sophie Cluzel : ""Changer la donne de façon assez rapide en changeant notre regard"" sur le handicap",0
"Delphine Ernotte : ""J'ai bien l'intention de continuer à exercer mon mandat jusqu'au bout""",0
Real Madrid - Fc Barcelone : un classico de foot en clair - Capture d'écrans,0
Le questionnaire Jupiproust de Thibaut Garcia - Le questionnaire Jupiproust,1
"""C’est plus une présidentielle c’est le casting de la France a un incroyable talent "" - Le Journal",0
Dans la bulle de Florence Cestac,0
Icemageddon : tempête de glace rarissime en Alaska,0
Raquel Garrido : guérilla médiatique sur C8 L'Instant M,0
"Gérard Larcher sur le pass vaccinal : ""nous voulons l'adapter à la réalité""",0
"Patrice Evra abusé sexuellement : ""Parle quand tu es prêt mentalement""",0
"""Sherlock Holmes: Chapter One"" élémentaire mais pas terre à terre - #LFAJV",0
Et si le covid 19 nous poussait à une autre approche de la santé - En toute subjectivité,0
Une idée pour se détendre : les vidéos de menuiserie japonaise - Capture d'écrans,0
De Gaulle et Jean Jaurès - Le Sketch avec Manon bril,1
Primaire populaire 5G et homards hallucinogènes - Le Journal de 17h17,1
L'invité du 13h : Pierre Larrouturou,0
La concentration des médias dans le viseur du Sénat - L'Instant M,0
"Charlotte Gainsbourg - Jane Birkin : ""Je n'ai jamais osé la prendre en photo cela m'intimide""",0
"Nicolas Bray à propos de la rentrée ce lundi : ""Ça va être une journée d'enfer""",0
Sommes nous condamnés à élire des présidents minoritaires En toute subjectivité Natacha Polony,0
"""Zone Interdite"" enquête sur les nouveaux dangers numériques - Capture d'écrans",0
"A Landier : ""chaque parti est en train de chercher le mix de valeurs qui répond à son électorat""",0
On n'arrête pas l'éco avec Stéphane Boujnah Pdg d'Euronext,0
"K Delli : ""La présidence de l'Ue ne doit pas être un marchepied pour la présidentielle""",0
Parenthood de Ron Howard - La chronique de Léo Karmann,1
"""Un nouveau protocole sanitaire remplace le nouveau protocole sanitaire"" - Le Journal de 17h17",1
Apple franchit le seuil des 3 000 milliards de dollars : une première dans l'histoire de la bourse,0
Les émeutes antivaccins de 1885 à Montréal,0
Sète : colère autour d’un projet de parking souterrain,0
Dino Buzzati l'écrivain-journaliste - L'Instant M,0
Lettre à Gisèle Halimi - En toute subjectivité Anne-Cécile Mailfert,0